description,type,status,steward,ushe_element,ushe_rule,ushe_file,ushe_field,ushe_notes,ushe_sql,banner,activity_date,edify
institution id unknown,USHE,Failure,,"S01, C01, G01, SC01, B01, R01","S01a, C01a, G01a, SC01a, B01a, R01b","Student, Course, Graduation, Builldings, Rooms","s_inst, c_inst, g_inst, sc_inst, b_inst, r_inst",G_Inst Unknown,"into #g01a
from graduation_ext'+@year+'
where g_inst not in (select distinct i_id from Reference.dbo.inst)
Order by g_banner_id",,n/a,
missing instituion,USHE,Failure,,"C01, G01, SC01, R01","G01b, SC01a, R01a","Graduation, Student Course, Rooms","G_INST, sc_inst, r_inst",G_Inst NULL,"into #g01b
from graduation_ext'+@year+'
Where (g_inst is null or g_inst = '''')
Order by g_banner_id",,n/a,
duplicate student_id's,Database,Failure,,S00,S00a,Student,s_banner_id,Duplicate Records by Banner_ID,"INTO #s00a
FROM students_'+ @extract +'
WHERE s_instance = @instance
and s_inst = @inst
GROUP BY s_inst, s_banner_id
HAVING count(s_banner_id)>1
Order by s_banner_id",banner.spriden_id,spriden_activity_date,student_id
duplicate ssn,Database,Failure,,S00,S00b,Student,s_id,Duplicate Records by S_ID,"INTO #s00b
FROM students_'+ @extract +'
WHERE s_instance = @instance
and s_inst = @inst
GROUP BY s_inst, s_id
HAVING count(s_id)>1
Order by s_id",banner.spbpers_ssn,spbpers_activity_date,student.ssn
"missing ushe_academic_year, version_id, season",USHE,Failure,,"S02, SC02, C02","S02a, SC02a, C02","Student, Course","s_year, s_term, s_extract, sc_year, sc_term, sc_extract, c_year, c_term, c_extract",Wrong year/term/extract in submission files,"into #s02a
from students_'+ @extract +'
where (s_instance in (
select distinct concat(s_year,s_term,s_extract)
from students_'+ @extract +')
and s_instance != @instance)
or (s_year IS NULL OR s_term IS NULL OR s_extract is null)
and s_inst = @inst
Order by s_banner_id",n/a,n/a,"ushe_academic_year, version_id, season"
missing student_id or _ssn,Database,Failure,,"S03, G02, SC03","S03a, G02a, SC03","Student, Graduation, Student Course","s_id, g_id, sc_id",Every record should have an s_id for every student,"INTO #s03a
FROM students_'+ @extract +'
WHERE (s_id in (''000000000'',''00000000'') or s_id IS NULL
OR s_id = '''')
and s_inst = @inst
Order by s_banner_id","banner.spbpers_ssn, banner.spriden_id",spbpers_activity_date,"student.student_id, student.ssn"
missing ssn,USHE,Failure,,S03,S03b,Student,s_ssn,"Missing SSN with s_id_flag. If they are non-residents,
--they should have an institutional id AND s_id_flag should be flagged I","INTO #s03b
FROM students_'+ @extract +'
WHERE s_ssn IS NULL AND s_id_flag = ''S''
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spbpers_ssn,spbpers_activity_date,student.ssn
missin ssn with citz code of 1,Database,Failure,,S03,S03c,Student,"s_ssn, s_citz_code","Residents Missing SSN. These are the students who are flagged as residents should have SSNs. However, students may decide not to release their SSN if they dont want to, so no SSNs is not entirely uncommon","INTO #s03c
FROM students_'+ @extract +'
WHERE s_ssn is null AND s_citz_code = ''1''
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spbpers_cit_code,spbpers_activity_date,student.us_citizenship_code
s_id not equal to S or I,USHE,Failure,,S04,S04a,Student,s_id_flag,Every student should have an id_flag,"INTO #s04a
FROM students_'+ @extract +'
WHERE s_id_flag not IN (''S'',''I'')
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",,n/a,"student.ssn, student.student_id"
invalid ssn,Database,Failure,,"S04, G02","S04b, G02c","Student, Graduation","s_id, g_id",check for invalid S_ID,"INTO #s04b
FROM students_'+ @extract +'
WHERE s_instance = @instance
AND s_inst = @inst
AND s_id_flag = ''s''
AND (S_ID IN (''078051120'',''111111111'',''123456789'',''219099999'')
OR (S_ID >= ''987654320'' AND S_ID <= ''987654329'')
OR S_ID=''999999999''
OR S_ID LIKE ''000%''
OR S_ID LIKE ''666%''
OR S_ID LIKE ''9%''
OR S_ID LIKE ''%[a-Z]%''
OR LEN(S_ID) < 9
OR SUBSTRING(S_ID,4,2) = ''00''
OR SUBSTRING(S_ID,6,4) = ''0000'')
ORDER BY S_ID_error, S_ID",banner.spbpers_ssn,spbpers_activity_date,student.ssn
s_id must match s_banner_id when s_id_flag is S,USHE,Failure,,S04,S04c,Student,s_id,incorrect id_flag,"INTO #s04c
FROM students_'+ @extract +'
WHERE (S_id=S_BANNER_ID
or s_id=(Case when S_BANNER_ID like ''[a-Z]%'' THEN ''0''+CAST(right(S_BANNER_ID,8) as varchar) ELSE S_BANNER_ID END)
or s_id like ''[a-z]%'')
AND S_ID_FLAG =''s''
AND s_instance = @instance
AND s_inst = @inst
Order by s_banner_id","banner.spbpers_ssn, banner.spriden_id",n/a,"student.student_id, student.ssn"
s_id must NOT match s_banner_id when s_id_flag is I,USHE,Failure,,S04,S04d,Student,s_id,"incorrect id_flag. With I flag, s_id should match s_banner_id","INTO #s04d
FROM students_'+ @extract +'
WHERE S_ID != S_BANNER_ID
AND S_ID_FLAG =''I''
AND s_instance = @instance
AND s_inst = @inst
Order by s_banner_id","banner.spbpers_ssn, banner.spriden_id",n/a,"student.student_id, student.ssn"
invalid previous_id,Database,Failure,,S05,S05a,Student,s_previous_id,Default Previous ID,"INTO #s05a
FROM students_'+ @extract +'
WHERE s_previous_id in (''000000000'',''00000000'',''0000000'',''000000'',''00000'',''0000'',''000'',''00'',''0'')
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",,n/a,student.previous_student_id
missing last name,Database,Failure,,"S06, G03","S06a, G03a","Student, Graduation","s_last, g_last_name",Every student should have a last name,"INTO #s06a
FROM students_'+ @extract +'
WHERE s_last is null
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spriden_last_name,spriden_activity_date,student.last_name
last name with non-alpha characters,Database,Warning,,"S06, G03","S06b, G03b","Student, Graduation","s_last, g_last_name",S_Last name with Non-Alpha characters,"INTO #s06b
from students_'+ @extract +'
where (s_last is not null or s_last <> '''')
and s_last like ''%[^ -`a-Z]%''
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spriden_last_name,spriden_activity_date,student.last_name
